S&P 500 Index,"2,576.40",2017-10-30 19:37:07.147084
S&P 500 Index,"2,576.40",2017-10-30 19:38:56.404863
S&P 500 Index,"2,577.16",2017-10-30 19:41:11.712692
SPX:IND,"2,578.61",2017-10-30 20:09:13.357053
SPX:IND,"2,571.73",2017-10-30 21:24:19.572271
SPX:IND,"2,569.37",2017-10-30 22:09:17.877966
MMM - 3M Company,Analysts,2017-10-30 22:15:18.342083
MMM - 3M Company,,2017-10-30 22:18:52.884871
MMM - 3M Company,Analysts,2017-10-30 22:19:27.121402
MMM - 3M Company,Analysts,Enterprise Value 3,2017-10-31 09:19:55.356101
MMM - 3M Company,Analysts,148.6B,2017-10-31 09:21:13.223965
MMM - 3M Company,Analysts,148.6B,2017-10-31 10:13:33.142553
ABT - Abbott Laboratories,Analysts,148.6B,2017-10-31 10:30:17.989103
ABT - Abbott Laboratories,Analysts,49.53B,2017-10-31 15:24:35.780940
ABT - Abbott Laboratories,Analysts,110.46B,2017-10-31 15:33:18.751023
ABT - Abbott Laboratories,Analysts,110.46B,2017-10-31 15:34:58.310878
MMM - 3M Company,Analysts,148.6B,2017-10-31 15:37:58.330956
ABT - Abbott Laboratories,Analysts,110.46B,2017-10-31 15:38:01.115062
MMM - 3M Company,Analysts,148.6B,2017-10-31 15:41:51.744272
ABT - Abbott Laboratories,Analysts,110.46B,2017-10-31 15:41:54.880401
ABBV - AbbVie Inc.,Analysts,176.88B,2017-10-31 15:41:57.888534
ACN - Accenture plc,Analysts,84.38B,2017-10-31 15:42:01.040672
"ATVI - Activision Blizzard, Inc.",Analysts,49.53B,2017-10-31 15:42:04.208813
MMM - 3M Company,Analysts,148.6B,2017-10-31 15:48:23.953845
ABT - Abbott Laboratories,Analysts,110.46B,2017-10-31 15:48:26.881972
MMM - 3M Company,Analysts,148.6B,2017-10-31 15:49:23.560626
ABT - Abbott Laboratories,Analysts,110.46B,2017-10-31 15:49:27.440789
ABBV - AbbVie Inc.,Analysts,176.88B,2017-10-31 15:49:31.028945
ACN - Accenture plc,Analysts,84.38B,2017-10-31 15:49:35.477156
"ATVI - Activision Blizzard, Inc.",Analysts,49.53B,2017-10-31 15:49:39.181319
MMM - 3M Company,Analysts,148.6B,2017-10-31 15:50:45.552216
ABT - Abbott Laboratories,Analysts,110.46B,2017-10-31 15:50:49.320376
ABBV - AbbVie Inc.,Analysts,176.88B,2017-10-31 15:50:53.092541
ACN - Accenture plc,Analysts,84.38B,2017-10-31 15:50:56.952712
"ATVI - Activision Blizzard, Inc.",Analysts,50.41B,2017-10-31 15:51:00.448868
"AYI - Acuity Brands, Inc.",Analysts,6.69B,2017-10-31 15:51:04.065023
ADBE - Adobe Systems Incorporated,Analysts,83.93B,2017-10-31 15:51:07.401169
"AMD - Advanced Micro Devices, Inc.",Analysts,11.78B,2017-10-31 15:51:14.709489
"AAP - Advance Auto Parts, Inc.",Analysts,6.84B,2017-10-31 15:51:21.793799
AES - The AES Corporation,Analysts,25.93B,2017-10-31 15:51:26.093987
AET - Aetna Inc.,Analysts,60.33B,2017-10-31 15:51:29.394147
"AMG - Affiliated Managers Group, Inc.",Analysts,11.94B,2017-10-31 15:51:32.526283
AFL - Aflac Incorporated,Analysts,34.69B,2017-10-31 15:51:35.562402
"A - Agilent Technologies, Inc.",Analysts,21.24B,2017-10-31 15:51:38.870549
"APD - Air Products and Chemicals, Inc.",Analysts,35.63B,2017-10-31 15:51:42.866743
"AKAM - Akamai Technologies, Inc.",Analysts,9.05B,2017-10-31 15:51:46.750894
"ALK - Alaska Air Group, Inc.",Analysts,9.11B,2017-10-31 15:51:50.443055
ALB - Albemarle Corporation,Analysts,16.13B,2017-10-31 15:51:56.023301
"ARE - Alexandria Real Estate Equities, Inc.",Analysts,16.17B,2017-10-31 15:51:59.579455
"ALXN - Alexion Pharmaceuticals, Inc.",Analysts,30.51B,2017-10-31 15:52:03.123623
MMM - 3M Company,Analysts,148.6B,2017-10-31 16:32:22.125399
ABT - Abbott Laboratories,Analysts,110.46B,2017-10-31 16:32:25.284676
ABBV - AbbVie Inc.,Analysts,176.88B,2017-10-31 16:32:28.057366
ACN - Accenture plc,Analysts,84.38B,2017-10-31 16:32:31.220375
"ATVI - Activision Blizzard, Inc.",Analysts,50.41B,2017-10-31 16:32:34.377512
"AYI - Acuity Brands, Inc.",Analysts,6.69B,2017-10-31 16:32:37.476030
ADBE - Adobe Systems Incorporated,Analysts,83.93B,2017-10-31 16:32:40.514442
"AMD - Advanced Micro Devices, Inc.",Analysts,11.78B,2017-10-31 16:32:43.181244
MMM - 3M Company,Analysts,148.6B,2017-10-31 16:34:22.947446
ABT - Abbott Laboratories,Analysts,110.46B,2017-10-31 16:34:25.741663
ABBV - AbbVie Inc.,Analysts,176.88B,2017-10-31 16:34:28.727100
ACN - Accenture plc,Analysts,84.38B,2017-10-31 16:34:31.853694
"ATVI - Activision Blizzard, Inc.",Analysts,50.41B,2017-10-31 16:34:38.226065
"AYI - Acuity Brands, Inc.",Analysts,6.69B,2017-10-31 16:34:42.103321
ADBE - Adobe Systems Incorporated,Analysts,83.93B,2017-10-31 16:34:45.504505
"AMD - Advanced Micro Devices, Inc.",Analysts,11.78B,2017-10-31 16:34:48.700274
"AAP - Advance Auto Parts, Inc.",Analysts,6.84B,2017-10-31 16:34:52.230746
AES - The AES Corporation,Analysts,25.93B,2017-10-31 16:34:55.891873
AET - Aetna Inc.,Analysts,60.33B,2017-10-31 16:34:59.243960
"AMG - Affiliated Managers Group, Inc.",Analysts,11.94B,2017-10-31 16:35:02.917949
AFL - Aflac Incorporated,Analysts,34.69B,2017-10-31 16:35:06.246608
"A - Agilent Technologies, Inc.",Analysts,21.24B,2017-10-31 16:35:11.111395
"APD - Air Products and Chemicals, Inc.",Analysts,35.63B,2017-10-31 16:35:14.704773
"AKAM - Akamai Technologies, Inc.",Analysts,9.05B,2017-10-31 16:35:22.033755
"ALK - Alaska Air Group, Inc.",Analysts,9.11B,2017-10-31 16:35:25.368557
ALB - Albemarle Corporation,Analysts,16.13B,2017-10-31 16:35:28.852611
"ARE - Alexandria Real Estate Equities, Inc.",Analysts,16.17B,2017-10-31 16:35:32.321469
"ALXN - Alexion Pharmaceuticals, Inc.",Analysts,30.33B,2017-10-31 16:35:36.290466
ALLE - Allegion plc,Analysts,8.98B,2017-10-31 16:35:39.916284
AGN - Allergan plc,Analysts,84.13B,2017-10-31 16:35:43.039567
ADS - Alliance Data Systems Corporation,Analysts,32.62B,2017-10-31 16:35:46.544628
LNT - Alliant Energy Corporation,Analysts,14.83B,2017-10-31 16:35:50.060325
ALL - The Allstate Corporation,Analysts,37.56B,2017-10-31 16:35:53.401632
GOOGL - Alphabet Inc.,Analysts,625.45B,2017-10-31 16:35:56.985389
GOOG - Alphabet Inc.,Analysts,615.47B,2017-10-31 16:36:00.365698
"MO - Altria Group, Inc.",Analysts,136.8B,2017-10-31 16:36:03.586485
"AMZN - Amazon.com, Inc.",Analysts,531.04B,2017-10-31 16:36:07.041114
AEE - Ameren Corporation,Analysts,23.47B,2017-10-31 16:36:11.137392
AAL - American Airlines Group Inc.,Analysts,41.14B,2017-10-31 16:36:15.633602
"AEP - American Electric Power Company, Inc.",Analysts,57.57B,2017-10-31 16:36:23.517509
AXP - American Express Company,Analysts,109.21B,2017-10-31 16:36:28.199318
"AIG - American International Group, Inc.",Analysts,75.72B,2017-10-31 16:36:31.624446
AMT - American Tower Corporation,Analysts,78.14B,2017-10-31 16:36:35.108288
"AWK - American Water Works Company, Inc.",Analysts,N/A,2017-10-31 16:36:38.599798
"AMP - Ameriprise Financial, Inc.",Analysts,26.12B,2017-10-31 16:36:42.846173
ABC - AmerisourceBergen Corporation,Analysts,19.21B,2017-10-31 16:36:48.832447
"AME - AMETEK, Inc.",Analysts,17.85B,2017-10-31 16:36:52.548200
AMGN - Amgen Inc.,Analysts,123.23B,2017-10-31 16:36:56.403927
APH - Amphenol Corporation,Analysts,28.23B,2017-10-31 16:37:07.122124
APC - Anadarko Petroleum Corporation,Analysts,38.13B,2017-10-31 16:37:11.236266
"ADI - Analog Devices, Inc.",Analysts,40.87B,2017-10-31 16:37:15.029530
ANDV - Andeavor,Analysts,20.3B,2017-10-31 16:37:21.593520
"ANSS - Ansys, Inc.",Analysts,10.65B,2017-10-31 16:37:25.210755
"ANTM - Anthem, Inc.",Analysts,47.65B,2017-10-31 16:37:28.763842
AON - Aon plc,Analysts,39.76B,2017-10-31 16:37:31.771660
AOS - A. O. Smith Corporation,Analysts,9.92B,2017-10-31 16:37:34.793502
APA - Apache Corporation,Analysts,22.43B,2017-10-31 16:37:37.607048
AIV - Apartment Investment and Management Company,Analysts,11.97B,2017-10-31 16:37:40.307461
AAPL - Apple Inc.,Analysts,873.78B,2017-10-31 16:37:42.808917
"AMAT - Applied Materials, Inc.",Analysts,57.69B,2017-10-31 16:37:46.495695
ADM - Archer-Daniels-Midland Company,Analysts,30.54B,2017-10-31 16:37:48.954980
ARNC - Arconic Inc.,Analysts,15.99B,2017-10-31 16:37:51.331230
MMM - 3M Company,Analysts,148.6B,2017-10-31 17:39:37.329171
ABT - Abbott Laboratories,Analysts,110.46B,2017-10-31 17:39:39.737962
ABBV - AbbVie Inc.,Analysts,176.88B,2017-10-31 17:39:42.767415
ACN - Accenture plc,Analysts,84.38B,2017-10-31 17:39:45.308560
"ATVI - Activision Blizzard, Inc.",Analysts,50.41B,2017-10-31 17:39:48.018432
"AYI - Acuity Brands, Inc.",Analysts,6.69B,2017-10-31 17:39:50.573121
ADBE - Adobe Systems Incorporated,Analysts,83.93B,2017-10-31 17:39:53.113432
"AMD - Advanced Micro Devices, Inc.",Analysts,10.88B,2017-10-31 17:39:55.439155
"AAP - Advance Auto Parts, Inc.",Analysts,6.84B,2017-10-31 17:39:57.799192
AES - The AES Corporation,Analysts,25.93B,2017-10-31 17:40:00.221340
AET - Aetna Inc.,Analysts,60.33B,2017-10-31 17:40:02.384981
"AMG - Affiliated Managers Group, Inc.",Analysts,11.94B,2017-10-31 17:40:05.128494
AFL - Aflac Incorporated,Analysts,34.69B,2017-10-31 17:40:11.922927
"A - Agilent Technologies, Inc.",Analysts,21.24B,2017-10-31 17:40:15.253412
"APD - Air Products and Chemicals, Inc.",Analysts,35.63B,2017-10-31 17:40:20.112291
"AKAM - Akamai Technologies, Inc.",Analysts,9.05B,2017-10-31 17:40:23.635898
"ALK - Alaska Air Group, Inc.",Analysts,9.11B,2017-10-31 17:40:26.656044
ALB - Albemarle Corporation,Analysts,16.13B,2017-10-31 17:40:29.984917
"ARE - Alexandria Real Estate Equities, Inc.",Analysts,16.17B,2017-10-31 17:40:33.507127
"ALXN - Alexion Pharmaceuticals, Inc.",Analysts,30.33B,2017-10-31 17:40:36.447099
ALLE - Allegion plc,Analysts,8.98B,2017-10-31 17:40:39.604206
AGN - Allergan plc,Analysts,84.13B,2017-10-31 17:40:42.932005
ADS - Alliance Data Systems Corporation,Analysts,32.62B,2017-10-31 17:40:46.359694
LNT - Alliant Energy Corporation,Analysts,14.83B,2017-10-31 17:40:49.390229
ALL - The Allstate Corporation,Analysts,37.56B,2017-10-31 17:40:52.544292
GOOGL - Alphabet Inc.,Analysts,625.45B,2017-10-31 17:40:55.605192
GOOG - Alphabet Inc.,Analysts,615.47B,2017-10-31 17:40:58.571672
"MO - Altria Group, Inc.",Analysts,136.8B,2017-10-31 17:41:01.790686
"AMZN - Amazon.com, Inc.",Analysts,535.8B,2017-10-31 17:41:04.712992
AEE - Ameren Corporation,Analysts,23.48B,2017-10-31 17:41:09.144108
AAL - American Airlines Group Inc.,Analysts,41.14B,2017-10-31 17:41:12.641049
"AEP - American Electric Power Company, Inc.",Analysts,57.57B,2017-10-31 17:41:18.279373
AXP - American Express Company,Analysts,109.21B,2017-10-31 17:41:22.385242
"AIG - American International Group, Inc.",Analysts,75.72B,2017-10-31 17:41:25.639651
AMT - American Tower Corporation,Analysts,78.14B,2017-10-31 17:41:28.906872
"AWK - American Water Works Company, Inc.",Analysts,N/A,2017-10-31 17:41:31.965300
"AMP - Ameriprise Financial, Inc.",Analysts,26.12B,2017-10-31 17:41:35.005550
ABC - AmerisourceBergen Corporation,Analysts,19.21B,2017-10-31 17:41:38.462202
"AME - AMETEK, Inc.",Analysts,17.85B,2017-10-31 17:41:41.889789
AMGN - Amgen Inc.,Analysts,N/A,2017-10-31 17:41:45.116212
APH - Amphenol Corporation,Analysts,28.23B,2017-10-31 17:41:49.698094
APC - Anadarko Petroleum Corporation,Analysts,38.13B,2017-10-31 17:41:53.215919
"ADI - Analog Devices, Inc.",Analysts,40.87B,2017-10-31 17:41:57.640451
ANDV - Andeavor,Analysts,20.3B,2017-10-31 17:42:00.891389
"ANSS - Ansys, Inc.",Analysts,10.65B,2017-10-31 17:42:04.175543
"ANTM - Anthem, Inc.",Analysts,47.65B,2017-10-31 17:42:07.503060
AON - Aon plc,Analysts,39.76B,2017-10-31 17:42:11.381561
AOS - A. O. Smith Corporation,Analysts,9.92B,2017-10-31 17:42:14.930524
APA - Apache Corporation,Analysts,22.43B,2017-10-31 17:42:21.567624
AIV - Apartment Investment and Management Company,Analysts,11.97B,2017-10-31 17:42:24.993049
AAPL - Apple Inc.,Analysts,873.78B,2017-10-31 17:42:27.945545
"AMAT - Applied Materials, Inc.",Analysts,57.69B,2017-10-31 17:42:31.580251
ADM - Archer-Daniels-Midland Company,Analysts,30.54B,2017-10-31 17:42:34.630102
ARNC - Arconic Inc.,Analysts,15.99B,2017-10-31 17:42:37.745410
AJG - Arthur J. Gallagher & Co.,Analysts,13.79B,2017-10-31 17:42:40.942621
"AIZ - Assurant, Inc.",Analysts,5.52B,2017-10-31 17:42:43.857297
T - AT&T Inc.,Analysts,326.65B,2017-10-31 17:42:46.893276
"ADSK - Autodesk, Inc.",Analysts,27.04B,2017-10-31 17:42:49.846455
MMM - 3M Company,Analysts,148.6B,2017-10-31 17:51:52.419358
ABT - Abbott Laboratories,Analysts,110.46B,2017-10-31 17:51:57.244817
ABBV - AbbVie Inc.,Analysts,176.88B,2017-10-31 17:52:01.672053
ACN - Accenture plc,Analysts,84.38B,2017-10-31 17:52:06.381805
"ATVI - Activision Blizzard, Inc.",Analysts,50.41B,2017-10-31 17:52:10.855418
"AYI - Acuity Brands, Inc.",Analysts,6.69B,2017-10-31 17:52:15.605647
ADBE - Adobe Systems Incorporated,Analysts,83.93B,2017-10-31 17:52:20.589387
"AMD - Advanced Micro Devices, Inc.",Analysts,10.88B,2017-10-31 17:52:25.065329
"AAP - Advance Auto Parts, Inc.",Analysts,6.84B,2017-10-31 17:52:29.432281
AES - The AES Corporation,Analysts,25.93B,2017-10-31 17:52:33.902452
AET - Aetna Inc.,Analysts,60.33B,2017-10-31 17:52:38.434442
"AMG - Affiliated Managers Group, Inc.",Analysts,11.94B,2017-10-31 17:52:42.759978
AFL - Aflac Incorporated,Analysts,34.69B,2017-10-31 17:52:47.306359
"A - Agilent Technologies, Inc.",Analysts,21.24B,2017-10-31 17:52:51.877757
"APD - Air Products and Chemicals, Inc.",Analysts,35.63B,2017-10-31 17:52:56.223157
"AKAM - Akamai Technologies, Inc.",Analysts,9.05B,2017-10-31 17:53:00.748616
"ALK - Alaska Air Group, Inc.",Analysts,9.11B,2017-10-31 17:53:05.176973
ALB - Albemarle Corporation,Analysts,16.13B,2017-10-31 17:53:11.847257
"ARE - Alexandria Real Estate Equities, Inc.",Analysts,16.17B,2017-10-31 17:53:20.515237
"ALXN - Alexion Pharmaceuticals, Inc.",Analysts,30.33B,2017-10-31 17:53:26.465947
ALLE - Allegion plc,Analysts,8.98B,2017-10-31 17:53:31.819515
AGN - Allergan plc,Analysts,84.13B,2017-10-31 17:53:36.849468
ADS - Alliance Data Systems Corporation,Analysts,32.62B,2017-10-31 17:53:42.089196
LNT - Alliant Energy Corporation,Analysts,14.83B,2017-10-31 17:53:47.124043
MMM - 3M Company,Analysts,148.6B,2017-10-31 17:57:22.110588
MMM - 3M Company,Analysts,148.6B,2017-10-31 17:57:41.503338
ABT - Abbott Laboratories,Analysts,110.46B,2017-10-31 17:57:47.461407
ABBV - AbbVie Inc.,Analysts,176.88B,2017-10-31 17:57:53.338528
ACN - Accenture plc,Analysts,84.38B,2017-10-31 17:57:59.430290
"ATVI - Activision Blizzard, Inc.",Analysts,50.41B,2017-10-31 17:58:05.562970
"AYI - Acuity Brands, Inc.",Analysts,6.69B,2017-10-31 17:58:11.343982
ADBE - Adobe Systems Incorporated,Analysts,83.93B,2017-10-31 17:58:20.893546
"AMD - Advanced Micro Devices, Inc.",Analysts,10.88B,2017-10-31 17:58:28.550889
"AAP - Advance Auto Parts, Inc.",Analysts,6.84B,2017-10-31 17:58:34.499810
MMM - 3M Company,Analysts,146.38B,2017-10-31 19:25:50.512690
MMM - 3M Company,,146.38B,2017-10-31 19:54:26.213135
MMM - 3M Company,,146.38B,2017-10-31 19:58:26.974368
